Date (date),Country Name (country_name),ISO Alpha 3 Code (alpha_3_code),Country Code (country_code),Region Name (region),Region Code (region_code),Sub-Region Name (sub_region),Sub-Region Code (sub_region_code),Harmonized System Code (hs_code),Commodity Name (commodity),Unit of Quantity (unit),Quantity of commodity (value_qt),Value of commodity quantity in INR (value_rs),Value of commodity quantity in US Dollars (value_dl)
"2017-12-01","Switzerland","CHE","756","Europe","150","Western Europe","155","62031990","Suits Of Othr Txtl Materials","Nos","0.01","0.14","0.0"
"2016-04-01","Hungary","HUN","348","Europe","150","Eastern Europe","151","42033000","Belts And Bandoliers","Kgs","0.0","0.01",""
"2015-07-01","Russian Federation","RUS","643","Europe","150","Eastern Europe","151","38089910","Pesticides, Not Elsewhere Specified Or Inc","Kgs","11.0","50.7","0.08"
"2019-11-01","Switzerland","CHE","756","Europe","150","Western Europe","155","19053100","Sweet Biscuits","Kgs","0.35","0.53","0.0"
"2017-01-01","Romania","ROU","642","Europe","150","Eastern Europe","151","57039090","Other","Sqm","0.59","3.31","0.0"
"2021-07-01","United Kingdom of Great Britain and Northern Ireland","GBR","826","Europe","150","Northern Europe","154","52122400","Othr Wovn Fbrcs Of Cotn Of Yrns Of Diff Colours Wghng More Than 200 Gsm","Sqm","1.42","20.37","0.03"
"2024-10-01","Germany","DEU","276","Europe","150","Western Europe","155","73181500","Othr Screws And Bolts W/N Wth Nuts Or Washers Threaded","Kgs","1187124.0","28.42","3.38"
"2019-12-01","Russian Federation","RUS","643","Europe","150","Eastern Europe","151","30066020","Contrceptiv Base On Othr Prod.Of Hdng 2937","Kgs","0.6","66.58","0.09"
"2019-09-01","Sweden","SWE","752","Europe","150","Northern Europe","154","39269069","Other Hangers","Kgs","6.52","7.23","0.01"
"2019-03-01","Kingdom of the Netherlands","NLD","528","Europe","150","Western Europe","155","15153090","Castor Oilandits Frctns Othr Thn Edble Grade","Kgs","8647.84","9156.27","13.18"
"2018-07-01","Estonia","EST","233","Europe","150","Northern Europe","154","39201019","Other Sheets Of Poleythylene:","Kgs","25.13","29.92","0.04"
"2019-07-01","Denmark","DNK","208","Europe","150","Northern Europe","154","25081090","Othr Bentonite (Incl. Processed, Activatedand Ground","Kgs","178.0","16.81","0.02"
"2016-05-01","United Kingdom of Great Britain and Northern Ireland","GBR","826","Europe","150","Northern Europe","154","84382000","Machinery For The Manufacture Of Confectionery,Cocoa Or Chocolate","Nos","0.0","3.45","0.01"
"2024-10-01","Denmark","DNK","208","Europe","150","Northern Europe","154","85122020","Automobile Lighting Eqpmnt","Nos","4.0","0.0","0.0"
"2015-02-01","United Kingdom of Great Britain and Northern Ireland","GBR","826","Europe","150","Northern Europe","154","8109010","Pomegranates Fresh","Kgs","16.01","53.11","0.09"
"2019-12-01","Sweden","SWE","752","Europe","150","Northern Europe","154","49111090","Othr Advrtsg Matter Printed","Kgs","0.0","0.03",""
"2019-07-01","Estonia","EST","233","Europe","150","Northern Europe","154","40069090","Others Forms And Articles Of Unvlcanised Rubber Excl. Camel Backstrips","Kgs","1.55","3.1","0.0"
"2018-07-01","Romania","ROU","642","Europe","150","Eastern Europe","151","30032000","Other, Containing Antibiotics","Kgs","0.04","2.72","0.0"
"2018-09-01","Kingdom of the Netherlands","NLD","528","Europe","150","Western Europe","155","71131930","Jewellery Of Gold Set With Diamond","Kgs","0.0","88.24","0.12"
"2024-10-01","Germany","DEU","276","Europe","150","Western Europe","155","29189990","Other","Kgs","4477.0","2.21","0.26"
"2025-06-01","Norway","NOR","578","Europe","150","Northern Europe","154","56039390","Other Filmnt Wghng Betwn 70G/Sqm And 150G/Sqm - Others","Kgs","1964.0","0.1","0.01"
"2021-03-01","Sweden","SWE","752","Europe","150","Northern Europe","154","33051090","Hair Shampoos (Non-Spirituous)","Kgs","0.67","2.15","0.0"
"2020-11-01","Spain","ESP","724","Europe","150","Southern Europe","39","28152000","Potassium Hyproxide (Caustic Potash)","Kgs","1.25","6.9","0.01"
"2024-04-01","Belgium","BEL","56","Europe","150","Western Europe","155","84099112","Pistons","Kgs","98.0","0.09","0.01"
"2025-05-01","Belgium","BEL","056","Europe","150","Western Europe","155","84089090","Others","Nos","4.0","1.6","0.19"
"2017-03-01","United Kingdom of Great Britain and Northern Ireland","GBR","826","Europe","150","Northern Europe","154","90138090","*Others","Nos","0.04","0.19","0.0"
"2018-12-01","Italy","ITA","380","Europe","150","Southern Europe","39","73110090","Other Pressure Containers For Transport Or Storage Of Compressed Gases","Kgs","10.05","31.09","0.04"
"2019-08-01","Serbia","SRB","688","Europe","150","Southern Europe","39","49011010","Printed Books","Nos","27.06","9.48","0.01"
"2025-04-01","Spain","ESP","724","Europe","150","Southern Europe","39","90189024","Surgicl,Chisel,Gauges,Elevatrs,Raspators, Osteotome,Craniotome,Bone Cutters,Etc","Nos","360.0","0.01","0.0"
"2015-01-01","United Kingdom of Great Britain and Northern Ireland","GBR","826","Europe","150","Northern Europe","154","85444230","Rubber Insltd Cndctrs Fr <= 1000V Used For Fitted With Connectors","Mtr","0.0","0.01",""
"2015-08-01","Luxembourg","LUX","442","Europe","150","Western Europe","155","62149090","Shawls,Scarves,Etc Of Othr Txtl Fibres","Nos","0.01","0.1","0.0"
"2017-08-01","United Kingdom of Great Britain and Northern Ireland","GBR","826","Europe","150","Northern Europe","154","62105000","Prsnal Prtectve Grmnts Fr Womens And Girls","Nos","1.53","5.4","0.01"
